"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H2,H1";"MountingHole_3.2mm_M3";2;"MountingHole";;;
2;"J3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Input Power";;;
3;"R2,R1,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"150R";;;
4;"C4,C3";"CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder";2;".1uF";;;
5;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"To ADC";;;
6;"C1,C2";"CP_EIA-2012-15_AVX-P_Pad1.30x1.05mm_HandSolder";2;"10uF";;;
7;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Sensors";;;
8;"U1";"TSSOP-14_4.4x5mm_P0.65mm";1;"LM324";;;
